year,month,day,temperature,_id
2014,1,1,-13,5e7ac44493d299b2e849cf52
2014,1,2,-18,5e7ac44493d299b2e849cf53
2014,1,3,-22,5e7ac44493d299b2e849cf54
2014,1,4,-22,5e7ac44493d299b2e849cf55
2014,1,5,-19,5e7ac44493d299b2e849cf56
2014,1,6,-16,5e7ac44493d299b2e849cf57
2014,1,7,-16,5e7ac44493d299b2e849cf58
2014,1,8,-18,5e7ac44493d299b2e849cf59
2014,1,9,-22,5e7ac44493d299b2e849cf5a
2014,1,10,-23,5e7ac44493d299b2e849cf5b
2014,1,11,-22,5e7ac44493d299b2e849cf5c
2014,1,12,-26,5e7ac44493d299b2e849cf5d
2014,1,13,-24,5e7ac44493d299b2e849cf5e
2014,1,14,-22,5e7ac44493d299b2e849cf5f
2014,1,15,-20,5e7ac44493d299b2e849cf60
2014,1,16,-22,5e7ac44493d299b2e849cf61
2014,1,17,-20,5e7ac44493d299b2e849cf62
2014,1,18,-24,5e7ac44493d299b2e849cf63
2014,1,19,-20,5e7ac44493d299b2e849cf64
2014,1,20,-20,5e7ac44493d299b2e849cf65
2014,1,21,-18,5e7ac44493d299b2e849cf66
2014,1,22,-22,5e7ac44493d299b2e849cf67
2014,1,23,-14,5e7ac44493d299b2e849cf68
2014,1,24,-10,5e7ac44493d299b2e849cf69
2014,1,25,-13,5e7ac44493d299b2e849cf6a
2014,1,26,-17,5e7ac44493d299b2e849cf6b
2014,1,27,-13,5e7ac44493d299b2e849cf6c
2014,1,28,-18,5e7ac44493d299b2e849cf6d
2014,1,29,-19,5e7ac44493d299b2e849cf6e
2014,1,30,-17,5e7ac44493d299b2e849cf6f
2014,1,31,-19,5e7ac44493d299b2e849cf70
2014,2,1,-18,5e7ac44493d299b2e849cf71
2014,2,2,-16,5e7ac44493d299b2e849cf72
2014,2,3,-18,5e7ac44493d299b2e849cf73
2014,2,4,-20,5e7ac44493d299b2e849cf74
2014,2,5,-22,5e7ac44493d299b2e849cf75
2014,2,6,-20,5e7ac44493d299b2e849cf76
2014,2,7,-19,5e7ac44493d299b2e849cf77
2014,2,8,-16,5e7ac44493d299b2e849cf78
2014,2,9,-18,5e7ac44493d299b2e849cf79
2014,2,10,-16,5e7ac44493d299b2e849cf7a
2014,2,11,-18,5e7ac44493d299b2e849cf7b
2014,2,12,-18,5e7ac44493d299b2e849cf7c
2014,2,13,-16,5e7ac44493d299b2e849cf7d
2014,2,14,-15,5e7ac44493d299b2e849cf7e
2014,2,15,-9,5e7ac44493d299b2e849cf7f
2014,2,16,-10,5e7ac44493d299b2e849cf80
2014,2,17,-14,5e7ac44493d299b2e849cf81
2014,2,18,-13,5e7ac44493d299b2e849cf82
2014,2,19,-13,5e7ac44493d299b2e849cf83
2014,2,20,-15,5e7ac44493d299b2e849cf84
2014,2,21,-10,5e7ac44493d299b2e849cf85
2014,2,22,-10,5e7ac44493d299b2e849cf86
2014,2,23,-6,5e7ac44493d299b2e849cf87
2014,2,24,-3,5e7ac44493d299b2e849cf88
2014,2,25,-3,5e7ac44493d299b2e849cf89
2014,2,26,+1,5e7ac44493d299b2e849cf8a
2014,2,27,-2,5e7ac44493d299b2e849cf8b
2014,2,28,-9,5e7ac44493d299b2e849cf8c
2014,3,1,-12,5e7ac44493d299b2e849cf8d
2014,3,2,-13,5e7ac44493d299b2e849cf8e
2014,3,3,-13,5e7ac44493d299b2e849cf8f
2014,3,4,-12,5e7ac44493d299b2e849cf90
2014,3,5,-11,5e7ac44493d299b2e849cf91
2014,3,6,-12,5e7ac44493d299b2e849cf92
2014,3,7,-10,5e7ac44493d299b2e849cf93
2014,3,8,-8,5e7ac44493d299b2e849cf94
2014,3,9,-6,5e7ac44493d299b2e849cf95
2014,3,10,-3,5e7ac44493d299b2e849cf96
2014,3,11,-4,5e7ac44493d299b2e849cf97
2014,3,12,-4,5e7ac44493d299b2e849cf98
2014,3,13,-4,5e7ac44493d299b2e849cf99
2014,3,14,-3,5e7ac44493d299b2e849cf9a
2014,3,15,-3,5e7ac44493d299b2e849cf9b
2014,3,16,+1,5e7ac44493d299b2e849cf9c
2014,3,17,+2,5e7ac44493d299b2e849cf9d
2014,3,18,+2,5e7ac44493d299b2e849cf9e
2014,3,19,+2,5e7ac44493d299b2e849cf9f
2014,3,20,+3,5e7ac44493d299b2e849cfa0
2014,3,21,+4,5e7ac44493d299b2e849cfa1
2014,3,22,0,5e7ac44493d299b2e849cfa2
2014,3,23,+6,5e7ac44493d299b2e849cfa3
2014,3,24,+9,5e7ac44493d299b2e849cfa4
2014,3,25,+11,5e7ac44493d299b2e849cfa5
2014,3,26,+7,5e7ac44493d299b2e849cfa6
2014,3,27,+11,5e7ac44493d299b2e849cfa7
2014,3,28,+11,5e7ac44493d299b2e849cfa8
2014,3,29,+9,5e7ac44493d299b2e849cfa9
2014,3,30,+11,5e7ac44493d299b2e849cfaa
2014,3,31,+7,5e7ac44493d299b2e849cfab
2014,4,1,+4,5e7ac44493d299b2e849cfac
2014,4,2,+4,5e7ac44493d299b2e849cfad
2014,4,3,+4,5e7ac44493d299b2e849cfae
2014,4,4,+6,5e7ac44493d299b2e849cfaf
2014,4,5,+2,5e7ac44493d299b2e849cfb0
2014,4,6,+6,5e7ac44493d299b2e849cfb1
2014,4,7,+7,5e7ac44493d299b2e849cfb2
2014,4,8,+12,5e7ac44493d299b2e849cfb3
2014,4,9,+6,5e7ac44493d299b2e849cfb4
2014,4,10,+4,5e7ac44493d299b2e849cfb5
2014,4,11,+8,5e7ac44493d299b2e849cfb6
2014,4,12,+11,5e7ac44493d299b2e849cfb7
2014,4,13,+15,5e7ac44493d299b2e849cfb8
2014,4,14,+19,5e7ac44493d299b2e849cfb9
2014,4,15,+5,5e7ac44493d299b2e849cfba
2014,4,16,+6,5e7ac44493d299b2e849cfbb
2014,4,17,+7,5e7ac44493d299b2e849cfbc
2014,4,18,+7,5e7ac44493d299b2e849cfbd
2014,4,19,+12,5e7ac44493d299b2e849cfbe
2014,4,20,+15,5e7ac44493d299b2e849cfbf
2014,4,21,+14,5e7ac44493d299b2e849cfc0
2014,4,22,+15,5e7ac44493d299b2e849cfc1
2014,4,23,+21,5e7ac44493d299b2e849cfc2
2014,4,24,+25,5e7ac44493d299b2e849cfc3
2014,4,25,+20,5e7ac44493d299b2e849cfc4
2014,4,26,+25,5e7ac44493d299b2e849cfc5
2014,4,27,+10,5e7ac44493d299b2e849cfc6
2014,4,28,+15,5e7ac44493d299b2e849cfc7
2014,4,29,+21,5e7ac44493d299b2e849cfc8
2014,4,30,+26,5e7ac44493d299b2e849cfc9
2014,5,1,+25,5e7ac44493d299b2e849cfca
2014,5,2,+16,5e7ac44493d299b2e849cfcb
2014,5,3,+8,5e7ac44493d299b2e849cfcc
2014,5,4,+4,5e7ac44493d299b2e849cfcd
2014,5,5,+12,5e7ac44493d299b2e849cfce
2014,5,6,+7,5e7ac44493d299b2e849cfcf
2014,5,7,+9,5e7ac44493d299b2e849cfd0
2014,5,8,+15,5e7ac44493d299b2e849cfd1
2014,5,9,+21,5e7ac44493d299b2e849cfd2
2014,5,10,+27,5e7ac44493d299b2e849cfd3
2014,5,11,+24,5e7ac44493d299b2e849cfd4
2014,5,12,+18,5e7ac44493d299b2e849cfd5
2014,5,13,+13,5e7ac44493d299b2e849cfd6
2014,5,14,+12,5e7ac44493d299b2e849cfd7
2014,5,15,+10,5e7ac44493d299b2e849cfd8
2014,5,16,+11,5e7ac44493d299b2e849cfd9
2014,5,17,+16,5e7ac44493d299b2e849cfda
2014,5,18,+16,5e7ac44493d299b2e849cfdb
2014,5,19,+20,5e7ac44493d299b2e849cfdc
2014,5,20,+22,5e7ac44493d299b2e849cfdd
2014,5,21,+21,5e7ac44493d299b2e849cfde
2014,5,22,+22,5e7ac44493d299b2e849cfdf
2014,5,23,+20,5e7ac44493d299b2e849cfe0
2014,5,24,+20,5e7ac44493d299b2e849cfe1
2014,5,25,+16,5e7ac44493d299b2e849cfe2
2014,5,26,+10,5e7ac44493d299b2e849cfe3
2014,5,27,+12,5e7ac44493d299b2e849cfe4
2014,5,28,+18,5e7ac44493d299b2e849cfe5
2014,5,29,+13,5e7ac44493d299b2e849cfe6
2014,5,30,+19,5e7ac44493d299b2e849cfe7
2014,5,31,+25,5e7ac44493d299b2e849cfe8
2014,6,1,+24,5e7ac44493d299b2e849cfe9
2014,6,2,+30,5e7ac44493d299b2e849cfea
